YEAR,MONTH,DAY_OF_WEEK,FL_DATE,OP_UNIQUE_CARRIER,OP_CARRIER_FL_NUM,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,CRS_DEP_TIME,DEP_DELAY,DEP_DEL15,TAXI_OUT,TAXI_IN,CRS_ARR_TIME,ARR_DELAY,ARR_DEL15,CANCELLED,CANCELLATION_CODE,CRS_ELAPSED_TIME,DISTANCE,CARRIER_DELAY,WEATHER_DELAY,NAS_DELAY,SECURITY_DELAY,LATE_AIRCRAFT_DELAY,ORIGIN_Air_Carrier,ORIGIN_Air_Taxi,ORIGIN_General_Aviation,ORIGIN_Military_Itinerant,ORIGIN_Total_Itinerant,ORIGIN_Local_Civil,ORIGIN_Local_Military,ORIGIN_Local_Total,ORIGIN_Total_Operations,DEST_Air_Carrier,DEST_Air_Taxi,DEST_General_Aviation,DEST_Military_Itinerant,DEST_Total_Itinerant,DEST_Local_Civil,DEST_Local_Military,DEST_Local_Total,DEST_Total_Operations,ORIGIN_TMAX,ORIGIN_TMIN,ORIGIN_TAVG,ORIGIN_PRCP,ORIGIN_SNWD,ORIGIN_AWND,ORIGIN_WSF2,DEST_TMAX,DEST_TMIN,DEST_TAVG,DEST_PRCP,DEST_SNWD,DEST_AWND,DEST_WSF2,HAS_FAA_DATA
2022,10,3,10/26/2022 12:00:00 AM,DL,,14679,SAN,"San Diego, CA",CA,13487,MSP,"Minneapolis, MN",MN,1646,23.0,1.0,18.0,3.0,2215,6.0,0.0,0.0,,209.0,1532.0,,,,,,544.0,40.0,28.0,2.0,614.0,0.0,0.0,0.0,614.0,691.0,99.0,26.0,4.0,820.0,0.0,0.0,0.0,820.0,217.0,144.0,183.0,0.0,,26.0,58.0,111.0,11.0,56.0,0.0,0.0,26.0,58.0,1
2022,9,7,9/18/2022 12:00:00 AM,AA,,13244,MEM,"Memphis, TN",TN,14107,PHX,"Phoenix, AZ",AZ,714,-6.0,0.0,23.0,10.0,835,22.0,1.0,0.0,,201.0,1264.0,0.0,0.0,22.0,0.0,0.0,340.0,20.0,55.0,1.0,416.0,0.0,0.0,0.0,416.0,977.0,79.0,42.0,7.0,1105.0,0.0,0.0,0.0,1105.0,350.0,211.0,,0.0,0.0,26.0,54.0,389.0,233.0,311.0,0.0,,26.0,63.0,1
2022,12,7,12/18/2022 12:00:00 AM,MQ,,13303,MIA,"Miami, FL",FL,12451,JAX,"Jacksonville, FL",FL,826,5.0,0.0,17.0,5.0,945,2.0,0.0,0.0,,79.0,335.0,,,,,,1237.0,63.0,59.0,0.0,1359.0,0.0,0.0,0.0,1359.0,187.0,29.0,33.0,0.0,249.0,0.0,0.0,0.0,249.0,272.0,194.0,237.0,18.0,,26.0,67.0,156.0,17.0,111.0,0.0,0.0,30.0,63.0,1
2022,3,3,3/23/2022 12:00:00 AM,OH,,11057,CLT,"Charlotte, NC",NC,11146,CRW,"Charleston/Dunbar, WV",WV,910,-6.0,0.0,41.0,3.0,1030,-1.0,0.0,0.0,,80.0,221.0,,,,,,1019.0,136.0,95.0,5.0,1255.0,0.0,0.0,0.0,1255.0,8.0,14.0,12.0,10.0,44.0,0.0,17.0,17.0,61.0,228.0,161.0,185.0,53.0,0.0,68.0,107.0,211.0,78.0,,51.0,0.0,,,1
2022,1,5,1/28/2022 12:00:00 AM,WN,,13232,MDW,"Chicago, IL",IL,11292,DEN,"Denver, CO",CO,1955,13.0,0.0,13.0,5.0,2140,-16.0,0.0,0.0,,165.0,895.0,,,,,,311.0,70.0,51.0,0.0,432.0,0.0,0.0,0.0,432.0,1271.0,343.0,0.0,0.0,1614.0,0.0,0.0,0.0,1614.0,-43.0,-132.0,-66.0,0.0,100.0,43.0,76.0,94.0,-133.0,,0.0,76.0,,,1
2022,11,2,11/22/2022 12:00:00 AM,WN,,11292,DEN,"Denver, CO",CO,14570,RNO,"Reno, NV",NV,2250,-5.0,0.0,12.0,4.0,15,-21.0,0.0,0.0,,145.0,804.0,,,,,,1544.0,250.0,5.0,0.0,1799.0,0.0,0.0,0.0,1799.0,141.0,53.0,100.0,14.0,308.0,16.0,12.0,28.0,336.0,128.0,-89.0,,0.0,0.0,,,106.0,-66.0,6.0,0.0,0.0,5.0,40.0,1
2022,2,1,2/14/2022 12:00:00 AM,UA,,11618,EWR,"Newark, NJ",NJ,14771,SFO,"San Francisco, CA",CA,830,17.0,1.0,24.0,7.0,1155,-4.0,0.0,0.0,,385.0,2565.0,,,,,,1084.0,17.0,17.0,0.0,1118.0,0.0,0.0,0.0,1118.0,751.0,130.0,20.0,10.0,911.0,0.0,0.0,0.0,911.0,-32.0,-88.0,-52.0,0.0,30.0,67.0,130.0,128.0,94.0,121.0,0.0,,63.0,116.0,1
2022,3,4,3/3/2022 12:00:00 AM,9E,,11193,CVG,"Cincinnati, OH",KY,12953,LGA,"New York, NY",NY,908,0.0,0.0,12.0,4.0,1102,-8.0,0.0,0.0,,114.0,585.0,,,,,,385.0,16.0,10.0,0.0,411.0,0.0,0.0,0.0,411.0,1056.0,24.0,11.0,0.0,1091.0,0.0,0.0,0.0,1091.0,167.0,17.0,93.0,0.0,0.0,52.0,116.0,89.0,-38.0,56.0,8.0,0.0,82.0,134.0,1
2022,5,5,5/6/2022 12:00:00 AM,DL,,13487,MSP,"Minneapolis, MN",MN,10397,ATL,"Atlanta, GA",GA,730,-2.0,0.0,16.0,4.0,1056,-7.0,0.0,0.0,,146.0,907.0,,,,,,739.0,140.0,49.0,6.0,934.0,0.0,0.0,0.0,934.0,2017.0,148.0,14.0,0.0,2179.0,0.0,0.0,0.0,2179.0,222.0,72.0,150.0,0.0,0.0,34.0,81.0,267.0,194.0,237.0,38.0,0.0,56.0,139.0,1
2022,2,2,2/22/2022 12:00:00 AM,WN,,14831,SJC,"San Jose, CA",CA,11292,DEN,"Denver, CO",CO,1035,,,,,1400,,,1.0,B,145.0,948.0,,,,,,231.0,44.0,72.0,5.0,352.0,8.0,0.0,8.0,360.0,1253.0,257.0,5.0,0.0,1515.0,0.0,0.0,0.0,1515.0,122.0,44.0,,3.0,,46.0,94.0,-133.0,-189.0,,18.0,25.0,,,1
2022,12,5,12/2/2022 12:00:00 AM,NK,,11066,CMH,"Columbus, OH",OH,12892,LAX,"Los Angeles, CA",CA,2025,3.0,0.0,10.0,10.0,2219,34.0,1.0,0.0,,294.0,1995.0,3.0,0.0,31.0,0.0,0.0,223.0,41.0,49.0,0.0,313.0,0.0,0.0,0.0,313.0,1419.0,68.0,40.0,1.0,1528.0,0.0,0.0,0.0,1528.0,122.0,-21.0,24.0,5.0,0.0,38.0,89.0,161.0,111.0,134.0,30.0,,34.0,89.0,1
